DATA,DEMANDA
01/02/2016,45618258
01/03/2016,49498072
01/04/2016,49845743
01/05/2016,52468034
01/06/2016,55709285
01/07/2016,47192272
01/08/2016,52024361
01/09/2016,52779001
01/10/2016,52319387
01/11/2016,53434595
01/12/2016,49203894
01/01/2017,50535566
01/02/2017,49704595
01/03/2017,58415459
01/04/2017,53159360
01/05/2017,57504395
01/06/2017,55431993
01/07/2017,48290440
01/08/2017,56143016
01/09/2017,53542691
01/10/2017,57093952
01/11/2017,57109294
01/12/2017,51234741
01/01/2018,51821060
01/02/2018,54200209
01/03/2018,59279468
01/04/2018,56537131
01/05/2018,64023115
01/06/2018,61362514
01/07/2018,56179129
01/08/2018,60602400
01/09/2018,57473426
01/10/2018,61780933
01/11/2018,59033483
01/12/2018,59638632
01/01/2019,53278230
01/02/2019,51645993
01/03/2019,59547291
01/04/2019,57794693
01/05/2019,64147338
01/06/2019,57635469
01/07/2019,53335962
01/08/2019,59467466
01/09/2019,59064065
01/10/2019,58291197
01/11/2019,56824053
01/12/2019,53034901
01/01/2020,53401982
01/02/2020,54305635
01/03/2020,52658085
01/04/2020,34216607
01/05/2020,39387132
01/06/2020,50159017
